word	meaning
dye	n.染料，染色[C][U] vt.vi.染(色)
dynamic	a.力學的；有活力的
dynasty	n.王朝；朝代[C]
earnest	a.認真的；誠摯的 n.認真，誠摯[U]
earphone	n.耳機；聽筒
economic	a.經濟上的；合算的
economical	a.經濟的，節約的 economics
economist	n.經濟學者；節儉的人
economy	n. 經濟(情況)；節約；經濟艙
efficiency	n.效率；效能
elastic	a.有彈性的，有彈力的
electrician	n.電工
electronics	n.電子學
elegant	a.雅緻的，優美的
elementary	a.基本的；初級的，基礎的
eliminate	vt.排除]；(比賽中)淘汰
elsewhere	adv.在別處；往別處
e-mail/email	n.【電腦】電子郵件
embarrass	vt.使窘；使不好意思
embarrassment	n.窘；難堪[U]；
embassy	n.(常大寫)大使館[C]
emerge	vi.浮現；出現[(+from/out of)]
emotional	a.感情(上)的；易動情的
emphasis	n.強調，重視，重點
empire	n.帝國[C]；大企業[C]
enclose	vt.圍住；圈起
encounter	n.vt.遭遇(敵人)；遇到(困
endanger	vt.危及；使遭到危險
endure	vt.忍耐，忍受；容忍
enforce	vt.實施，執行
enforcement	n.實施，執行；強制
engineering	n.工程；工程學[U]
enlarge	vt.放大；擴大；擴展
enlargement	n.放大；擴大；擴展
enormous	a.巨大的，龐大的
entertain	vt.娛樂；招待，款待
entertainment	n.娛樂；餘興；演藝
enthusiasm	n.熱情，熱忱
envious	a.嫉妒的；羨慕的[(+of)]
equality	n.相等；平等；【數】等式
equip	vt.裝備，配備[(+for/with)]
equipment	n.配備，裝備；設備；器械
era	n.時代；年代
errand	n.差事，差使
escalator	n.電扶梯
essay	n.論說文；散文
essential	a.必要的，不可缺的[(+to/for)]；
Establish	vt.建立，設立；確定，證實
establishment	n.建立，設立[U]；
estimate	vt.vi.n.估計，估量
evaluate	vt.估...的價；對...評價evaluation
eve	n.(通常大寫)(節日等的)前夜，前夕
eventual	a.最終發生的；最後的
evidence	n.證據；證詞；證人；物證
evident	a.明顯的；明白的
exaggerate	vt.vi.誇張，誇大
examinee	n.應試者；受檢查者
examiner	n.主考人；檢查人；審查員
exception	n.例外[C]；除外，除去
exhaust	vt.用完，耗盡；使精疲力盡
exhibit	n.vt.展示，陳列；(在法庭)提出(證據)
expand	vt.vi.展開，張開(帆，翅)；使膨脹
expansion	n.擴展；擴張；膨脹[U]
explanation	n.說明，解釋[U][C]
explore	vt.vi.探測；探勘；探索
explosion	n.爆發；爆炸；擴張，劇增
explosive	a.爆炸(性)的 n.爆炸物；炸藥
expose	vt.使暴露於；使接觸到；揭發
exposure	n.暴露；暴曬[U]；揭發
extend	vt.vi.延長，延伸；擴大，擴展
extent	n.廣度，寬度；程度；限度；範圍
facial	a.臉的；面部的 n.臉部按摩
facility	n.能力，技能[U]；設備，設施[C]
faithful	a.忠實的；忠誠的
fame	n.聲譽，名望 [U]
fantastic	a.【口】極好的，了不起的；
Fantasy	n.空想；幻想；夢想；空想的產物
farewell	int.再會！別了! n.告別 a.告別的
fatal	a.命運的；致命的，生死攸關的
favorable	a.贊同的；有利的，適合的
feast	n.盛宴，筵席
ferry	n.渡輪
fertile	a.(動植物)多產的；(土地)肥沃的
fetch	vt.去拿...；(去)拿來
fiction	n.(總稱)小說[U]；虛構，想像[U]
fierce	a. 兇猛的；殘酷的；猛烈的，激烈的
finance	n.財政；金融；財政學[U]
financial	a.財政的；金融的；金融界的
firecracker	n.爆竹，鞭炮[C]
fireplace	n.壁爐[C]
flee	vi.vt.逃，逃走
flexible	a.可彎曲的；有彈性的；可變通的
fluent	a.流利的，流暢的
flunk	vt.vi.使(某人)不及格；通不過(考試等)
flush	vi.湧；湧流；(臉)發紅
foam	n.泡沫；滅火泡沫[U] vi.起泡沫
forbid	vt.禁止，不許[+v-ing]
forecast	n.vt.vi.預測，預報
formation	n.形成，構成；構成物；隊形
formula	n.慣用語句；慣例；配方，處方；
fort	n.堡壘，要塞
fortunate	a.幸運的，僥倖的
fossil	n.化石；頑固不化的人
foundation	n.建立，創辦；基礎；基本
founder	n.創立者；奠基者
fragrance	n.芬芳；香味；香氣
fragrant	a.香的，芳香的
frame	n.架構，骨架；結構；框架，框子
freeway	n.【美】高速公路
frequency	n.頻率，次數
freshman	n.(大學等的)一年級生；新人
frost	n.霜 vt.vi.結霜
frown	vi.vt.n.皺眉；表示不滿
frustration	n.挫折，失敗
fuel	n.燃料 vt.vi.對...供給燃料；激起；刺激
fulfill	vt.執行(命令等)；履行(諾言等)；
fulfillment	n.完成，履行；實現
functional	a.機能的
fundamental	a.基礎的；根本的
funeral	n.葬禮；葬儀
furious	a. 狂怒的；狂暴的，猛烈的
furnish	vt.給(房間)配置(傢俱等)；裝備；供應
furthermore	adv.而且，此外
gallery	n.畫廊，美術館
gangster	"n.(結成團伙的)歹徒，匪盜,流氓"
gaze	vi.n.凝視，注視，盯
gear	n.齒輪；傳動裝置；(汽車)排檔；工具；
gene	n.【生】基因，遺傳因子
generation	"n.世代，一代；產生,發生"
generosity	n.寬宏大量；慷慨
genius	n.天資，天賦 [U]；天才，英才[C]
genuine	a.真的，非偽造的；真誠的
germ	n.細菌；微生物
gifted	a.有天資的，有天賦的
gigantic	a. 巨大的；巨人的
giggle	n.vi咯咯地笑；傻笑[(+at)]
ginger	n.薑；【口】精力，活力
glide	n.vt.vi.滑動，滑行
glimpse	n.vi.vt.瞥見；一瞥
globe	n.球；球狀物；地球儀
glorious	a.光榮的，榮耀的
goods	] n.商品；貨物
grace	n.優美；優雅；(票據到期後的)寬限[U]；
graceful	a.優美的，雅緻的
gracious	a.親切的；和藹的；慈祥的
graduation	n.畢業[U]；畢業典禮[C]
grammar	n.文法[U]
grammatical	a.文法的；文法正確的
grapefruit	n.葡萄柚
grateful	a.感謝的，感激的
gratitude	n.感恩，感謝
grav?	a.重大的；嚴重的；嚴肅的，認真的
greasy	a.油汙的，油膩的；油滑的
greeting(s)	n.問候，招呼；(生日等的)祝願詞
grief	n.悲痛，悲傷
grieve	vt.vi.(使)悲傷；(使)苦惱
grind	vt.vi.磨(碎)；碾(碎)
guarantee	n.保證；商品保證；保證書
guilt	n.有罪；犯罪；過失；內疚
guilty	a.有罪的，犯...罪的[(+of)]
gulf	n.海灣
habitual	a.習慣的，習以為常的
halt	n.vt.vi.暫停，停止；終止
handwriting	n.筆跡；書寫；手寫
harden	vt.vi.(使)變硬；(使)變堅固
hardship	n.艱難，困苦
hardware	n.金屬器件，五金器具；
Harmonica	n.口琴
harmony	n.和睦；和諧；和聲
harsh	a.粗糙的；刺耳的；澀口的；刺鼻的
haste	n.急忙，迅速
hasten	vt.vi.催促；加速
hatred	n.憎恨，增惡；敵意
headphone(s)	n.頭戴式耳機
healthful	a.有益於健康的
helicopter	n.直升機
herd	n.畜群；牧群
hesitation	n.躊躇，猶豫
highly	adv.非常，很，高度地
homeland	n.祖國；故國；家鄉
honeymoon	n.蜜月(假期、旅行)
honorable	a.可尊敬的；高尚的；光榮的
hook	n.鉤，掛鉤，魚鉤；鉤拳；鉤射
hopeful	a.有希望的；有前途的
horizon	n.地平線；眼界；
horrify	vt.使恐懼，使驚懼
hose	n.軟管；(軟)水管
host	n.主人；旅館老板；(廣播，電視的)節目
hostel	n.(青年)旅舍
household	n.一家人；家眷；家庭
housewife	n.家庭主婦
housework	n.家事[U]
humanity	n.人性；人道；(總稱)人；
humidity	n.濕氣，濕度[U]
hurricane	n.颶風，暴風雨
hydrogen	n.【化】氫[U]
iceberg	n.冰山；冷峻的人
identify	vt.確認；識別 vi.認同...
idiom	n.慣用語；成語
idle	a.閒置的；空閒的；懶惰的；無所事事的
idol	n.偶像；受崇拜之人(或物)
illustrate	vt.(用圖，實例等)說明，闡明
imaginable	a.可想像得到的
imaginative	a.有想像力的
imitate	vt.模仿
imitation	n.模仿，模擬[U]；
Immigrant	n.(外來)移民，僑民[C]
immigrate	vi.遷移；遷入
immigration	n.移居；
impact	vt.vi.衝擊，撞擊
imply	vt.暗指；暗示
impression	n.印象[C][U][(+on)]
incident	n.事件；事變[C]；插曲[C]
including	prep.包括；包含
indication	n.指示；指點；徵兆；跡象
industrialize	vt.vi.(使)工業化
infant	n.嬰兒
infect	vt.【醫】傳染；感染
infection	n.傳染；侵染[U]
inflation	n.通貨膨脹[U][C]；充氣；膨脹[U]
influential	a.有影響力的；有權勢的
information	n.消息；情報；資訊[U]；詢問處
informative	a.教育性的；見聞廣博的
ingredient	n.(烹調的)原料；
initial	a.開始的，最初的
innocence	n.無罪；清白；天真無邪，純真
input	n.vt.投入；輸入
insert	vt.插入；嵌入
inspection	n.檢查，檢驗
inspiration	n.靈感[U]；鼓舞人心的人(或事物)[C]
inspire	vt.vi.鼓舞，激勵
install	vt.安裝，設置
instinct	n.本能；天性[(+to-v)]；直覺
instruct	vt.指示，命令；教授；訓練
instructor	n.教員；指導者；
insult	vt.侮辱，羞辱 [ˋ?ns?lt]n.
insurance	n.保險；保險契約[U]
intellectual	a.智力的；理智的
intelligence	n.智慧；情報 [U]
intelligent	a.聰明的；明智的
intend	vt.想要；打算[+to-v][+v-ing][+(that)]
intense	a.強烈的，劇烈的；熱情的
intensify	vt.vi.加強，增強
intensity	n.(思想、感情、活動等的)強烈；
intensive	a.加強的；密集的
intention	n.意圖，意向，目的
interact	vt.vi.互動； 互相作用
interaction	n.互動； 互相作用
interfere	vt.vi.妨礙；衝突[(+with)]
intermediate	a.中間的，中等程度的
internet	n.【電腦】網際網路(internet)
interpret	vt.vi.解釋，說明，詮釋；口譯
intonation	n.語調；聲調
invade	vt.vi.侵入，侵略；侵犯
invasion	n.侵入，侵略；侵犯
invention	n.發明，創造[U]；
invest	vt.vi.投(資)[(+in)]
investment	n.投資；投資額
investigation	n.研究；調查
involve	vt.使捲入，連累；牽涉[(+in/with)]
involvement	n.捲入，連累；牽涉
isolate	vt.vi.使孤立；使脫離
isolation	n.隔離；孤立;脫離；【物】絕緣
itch	n.vi.vt.(發)癢
jealousy	n.妒忌；猜忌
junior	a.年紀較輕的；資淺的；
keen	a.熱心的，熱衷的；渴望的；敏銳的
knuckle	n.指(根)關節
labor	n.勞動[U]；勞工 [U]；陣痛[U] vi.勞動
laboratory	n.實驗室，研究室(lab)
lag	n.vi.vt.走得慢；落後；延遲
landmark	n.地標，陸標；
landscape	n.(陸上的)風景，景色[C]
landslide	n.山崩；土石流(mudslide)
largely	adv.大部分；主要地
lately	adv.最近，近來
launch	vt.n.使(船)下水；發射；投擲；使升空
lawful	a. 合法的；法定的
lead2	vt.vi.n.引導；領(路) [l?d] n.鉛[U]
le?n	n.vi.vt.傾斜；倚，靠
le?n	a.瘦的；無收成的
learned	a.有學問的，博學的
learning	n.學習；學問
lecture	n.授課；演講；訓話，告誡
lecturer	n.講演者
legend	n.傳說；傳奇故事；傳奇人物[C]
leisurely	a.從容不迫的，悠閒的
license	n.執照，牌照；許可證
lighten	vt.vi.變亮；發亮
limitation	n.限制，極限，限度
liquor	n.酒；含酒精飲料[U][C]
literary	a.文學的，文藝的；文言的
literature	n.文學；文獻[U]
loan	n.借出；貸款[C]
locateon	n.位置；場所，所在地[C]
locker	n.(體育館等公共場所的)衣物櫃
logic	n.邏輯；邏輯學
logical	a.合邏輯的；合理的
lotion	n.(化妝等用的)化妝水，護膚液
lousy	a.【俚】不潔的；卑鄙的；討厭的
loyal	a.忠誠的，忠心的
loyalty	n.忠誠；忠心[U]
lunar	a.月的；月球上的；陰曆的
luxurious	a.奢侈的；驕奢淫逸的
luxury	n.奢侈，奢華[U]；奢侈品[C]
machinery	n.機器；機械 [U]
madam	n.(對婦女的敬稱)夫人，太太；
magnetic	a. 磁鐵的；磁性的，有魅力的
magnificent	a.壯麗的，宏偉的
makeup1	n.虛構
makeup2	n.化妝品；補充；補考
manual	n.手冊，簡介 a.手的；手工的
manufacture	vt.vi.(大量)製造，加工
manufacturer	n.製造業者，廠商
marathon	n.【體】(可大寫)馬拉松賽跑
margin	n.邊，邊沿，邊緣
maturity	n.成熟；完善
maximum	n.最大量，最大數
measur?	vt.測量；計量
mechanic	n.機械工，技工
mechanical	a.機械的，用機械的
memorable	a.值得懷念的；難忘的
memorial	n.紀念物；紀念碑；紀念館
mercy	n.慈悲，憐憫；仁慈，寬容
mere	a.僅僅的，只不過的
merit	n.長處，優點[C]；功績，功勞[C]
messenger	n.送信人；(電報郵件的)信差
messy	a.凌亂的; 雜亂的; 邋遢的
microscope	n.顯微鏡[C]
mild	a.溫和的，溫柔的
mineral	n.礦物；礦泉水 a.礦物的
minimum	n.最小量，最小數[C]
minister	n.部長；大臣；牧師
ministry	n.(常大寫)(政府的)部
mischief	n.頑皮，淘氣；胡鬧[U]
miserable	a.不幸的；悲哀的
misfortune	n.不幸[U]；不幸的事[C]
mislead	vt.誤導；把...引入歧途
misunderstand	vt.誤會；曲解
moderate	a.適度的；有節制的；溫和的
modest	a.謙虛的，審慎的
modesty	n.謙遜，虛心[U]
monitor	n.監視器；(學校的)班長，級長
monthly	a.每月的；每月一次的 adv.每月
monument	n.紀念碑，紀念塔，紀念館
moreover	adv.並且，加之，此外
mostly	adv.大多數地，大部分地
motivate	vt.給...動機；刺激；激發
motivation	n.動機；刺激；推動
mountainous	a.多山的；有山的
mow	vt.vi.(用鐮刀等)刈(草等)
muddy	a.多爛泥的；泥濘的
multiple	a.複合的；多樣的
murderer	n.謀殺犯，兇手
murmur	n.低語聲；輕柔持續的聲音
mustache	n.髭，小鬍子
mutual	a.相互的，彼此的；共有(同)的
mysterious	a.神祕的；不可思議的
namely	adv.即，那就是
nationality	n.國籍
nearsighted	a.近視的；目光短淺的
needy	a.貧窮的
neglect	vt.n.忽視，忽略
negotiate	vt.vi.談判，協商
nevertheless	adv.不過，然而
nightmare	n.夢魘；惡夢
nonsense	n.胡說；胡鬧 int.胡說!廢話！
noun	n.【文】名詞
nowadays	adv.現今，時下
nuclear	a.核心的，中心的；原子核的
numerous	a.許多的，很多的
nursery	n.幼兒室，育兒室；苗圃；養魚場
nylon	n.尼龍[U]
obedience	n.服從，順從[U]
obedient	a.服從的，順從的
objection	n.反對；異議
objectiv?	a.客觀的，無偏見的
objectiv?	n.目的，目標
observation	n.觀察；觀測
obstacle	n.障礙(物)；妨礙[C][(+to)]
obtain	vt.得到，獲得
occasional	a.偶爾的，非經常的
occupation	n.佔領[U]；職業[C]
occupy	vt.佔領，佔據
offend	vt.冒犯；觸怒
offense	n.罪過；犯法(行為)[C]；進攻，攻擊
offensive	a.冒犯的；進攻的
opera	n.歌劇[C]；歌劇院[C]；歌劇藝術[U]
operation	n.操作；運轉[U]；手術[C]
oppose	vt.vi.反對；反抗
oral	a.口頭的，口述的
orbit	n.(天體等的)運行軌道
orchestra	n.管弦樂隊[C
organic	a.有機體的，生物的；器官的
otherwise	"adv.否則,不然；用別的方法"
outcome	n.結果；結局
outstanding	a.顯著的；傑出的
oval	n.卵形(物)[C] a.橢圓形的
overcome	vt.vi.戰勝；克服
