word	meaning
checkup	檢查；核對；體格檢查
chemist	化學家；【英】藥劑師，藥商
chestnut	栗子[C]；【植】栗樹[C] 栗色的
chili	紅番椒（一種墨西哥菜用的調味料）
chimpanzee	【動】黑猩猩
chirp	（小鳥）發啁啾聲；（昆蟲）發唧唧聲[（+away）]；嘁嘁喳喳地說話 尖聲尖氣地說（或唱）[（+out）]；咂嘴向......打招呼 啁啾聲；唧唧聲；嘎吱聲
cholesterol	【生化】膽固醇
cigar	雪茄菸
civilize	使文明，使開化；教化，薰陶；使文雅 變得文明（或文雅）
clam	蛤，蛤蜊，蚌[C]；（供食用的）蛤肉[U] 拾蛤，撈蛤，挖蛤；閉嘴不言；保持沉默[（+up）]
clasp	緊抱；緊握；扣住，扣緊；鉤住 扣住，扣緊；鉤住 扣子，鉤子，夾子[C]；擁抱；握手；緊握[S1]
clearance	清除，清掃；出空；空地；空隙
climax	頂點，最高點；高潮 使達到頂點（或高潮） 達到頂點（或高潮）
clockwise	順時針方向的；右旋的 順時針方向地；右旋地
clone	【植】克隆；無性繁殖系；翻版，複製品
closure	關閉；打烊；結束；終止 使結束；結束討論
coalition	結合，聯合[U]；（政黨、國家等）臨時結成的聯盟[C]
coastline	海岸線
collision	碰撞；相撞；（意見、利益等的）衝突，抵觸
colloquial	口語的；會話的；用於口語的；口語體的
comet	【天】彗星[C]
commonplace	司空見慣的事；老生常談；陳詞濫調 平淡無味的；平凡的，普通的；陳腐的
commonwealth	全體國民，全體公民[G]；政治實體，國家；共和國，民主國[C]
communicative	愛說話的；暢談的；愛社交的；愛交際的
comparative	比較的；用比較方法的；比較而言的，相對的 【語】比較級（或詞）[the S]
compass	羅盤，指南針[C]；（製圖用的）圓規[P1] 圖謀，計畫；圍繞......而行，包圍
compile	匯編；編輯；收集（資料等）
complement	補充物，補足物；配對物[（+to/of）]；足數；全數，整套
complexion	面色，膚色；氣色[C]；情況；樣子；性質[U] 使增添（或帶上）色彩
comprehensive	廣泛的；無所不包的；綜合的；有充分理解力的 （為獲得高一級學位必須通過的）專業綜合測驗，總考[P]；【英】綜合學校
compute	計算；估算；推斷 計算；估算；推斷 計算；估算；推斷[U]
computerize	使電腦化；用電腦處理
comrade	夥伴，戰友，同好，同事；（共產黨的）同志
concession	讓步；讓步行為[C]；讓予，給予[U]
concise	簡明的，簡潔的；簡要的
condense	壓縮；濃縮；聚集（光線） （氣體）冷卻成液體（或固體）；濃縮；凝結
confederation	同盟，聯盟；邦聯[C]；結盟，聯合[U][C]
congressman/congresswoman	美國國會議員
conquest	征服；克服；佔領[U]；（由征服所得的）掠奪物，繳獲品，佔領地[C]
conscientious	憑良心的；誠實的；認真的，勤勤懇懇的
conserve	保存；保護；節省；用糖保存，將......做成蜜餞
consolation	安慰，慰藉[U]；安慰的人（或事物）[C]
console	操縱臺；（電腦的）操作桌；（管風琴的）演奏臺；落地式收音機（或電視機等）；（收音機等的）落地櫃
consonant	【語】子音；子音字母[C] 符合的；一致的[（+with/to）]；（音調等）和協的
conspiracy	陰謀；謀叛；共謀[C][U][+to-v]；陰謀集團[C]
contention	論點，主張[C][+that]；爭論；爭吵；爭奪；競爭[U][S1][（+about/against/for/with/between）]
contestant	參加競賽者，角逐者；質疑者
continuity	連續性；持續性；連貫性[（+in/between）]；一連串，一系列[S1][（+of）]
contradict	否定（陳述等）；反駁；提出論據反對；與......矛盾；與......抵觸 否認；反駁；發生矛盾
convene	集會；聚集 召集（會議）；傳喚......出庭受審，票傳[（+before）]
coral	珊瑚[U]；珊瑚蟲[C] 珊瑚的；珊瑚製的；珊瑚色的，橘紅色的
corpse	屍體；殘骸
correspondence	一致；符合[U][（+with/to/between）]；相當；類似；相似處[C][（+between）]
cosmetic	化妝品；裝飾品[P] 化妝用的；化妝品的[B]；整容的[B]
cosmetics	化妝品，美容品；cosmetic的名詞複數
counterpart	極相像的人（或物）；互為補充的人（或物）；對應的人（或物），配對物
coupon	連張式的車票；聯票；贈券；減價優待券
courtyard	庭院；天井[C]
cowardly	膽小的，懦怯的；卑劣的 膽小地，懦怯地；卑怯地
cozy	舒適的；愜意的 保溫罩
crackdown	壓迫；鎮壓；痛擊
cracker	（淡或鹹的）薄脆餅乾；【美】餅乾；胡桃鉗[P]
cram	把......塞進[（+into）]；把......塞滿，把......擠滿[（+with）]；狼吞虎嚥地吃；塞飽[O] 狼吞虎嚥地吃東西；吃得過飽；【口】（為應考）死記硬背功課[（+up/for）] 擁擠[S]；死記硬背[U]
cramp	鐵夾鉗；夾鉗；鐵箍；約束物，束縛物；約束，束縛[（+on）] 用夾鉗夾緊；限制；約束；妨礙 狹窄的；受限制的；難懂的
crater	火山口[C]；（月環表面的）環形山[C] 使成坑 形成坑
credible	可信的；可靠的
crocodile	【動】鱷魚[C]；鱷魚皮革[U]
crossing	交叉；交叉點，十字路口[C]；渡口；（穿過街道等的）橫道[C]
crutch	丁形柺杖，（支在腋下的）撐拐；支撐物，支架；叉架 用撐拐支撐；支持 用撐拐支撐著行走
cub	（熊，獅，虎，狼等的）幼獸；幼鯨；幼鯊；（不成熟的）小青年，笨手笨腳的年輕人 生育幼獸；獵幼狐 生育（幼獸）
cucumber	黃瓜，胡瓜[C]
cultivate	耕種，耕作；栽培（作物等）；養殖（魚等）；培育
cumulative	漸增的；積蓄的；累計的；累計紅利的
curb	勒馬繩；控制，約束，抑制
curfew	晚鐘；戒嚴；宵禁
curry	咖喱；咖喱粉[U]；咖喱菜肴[C][U] 用咖喱燒；給......加咖喱粉[H]
customary	習慣上的，慣常的；合乎習俗的；【律】習慣法上的；按慣例的 （采邑、城市等的）習慣法匯編[C]
cynical	憤世嫉俗的；懷疑人間有真誠善意的；悲觀的[（+about）]；挖苦的，冷嘲的
dazzle	使目眩，使眼花；使昏昏然，使迷惑 耀眼的光；燦爛；令人讚歎（或迷惑）的東西
deafen	使聾；使聽不見；把......震聾
decisive	決定性的，決定的；確定的
dedication	奉獻，供奉[U]；獻堂典禮；揭幕儀式[C]
deduct	扣除，減除[（+from）]
deem	認為，以為；視作[+（that）][O8][O9] 持某種看法，作某種評價
default	不履行，違約，拖欠；不參加（比賽）；（中途）棄權 不履行，拖欠[（+on/in）]；不出場；不參加；不到案；棄權 不履行，拖欠；對......處以缺席裁判
defect	缺點，缺陷，不足之處[C] 逃跑，脫離，背叛[（+to/from）]
defiance	反抗；蔑視，藐視；挑戰
definitive	決定性的；最後的；限定的 【語】限定詞
dental	牙齒的；牙科的；齒音的 齒音[C]
deplete	用盡；使減少；耗盡......的資源（精力等）；使空虛[（+of）]
deprive	剝奪，從......奪走；使喪失[（+of）]；免去......的聖職（或職務）
descent	下降；下傾[U][C]；下坡[C]
despise	鄙視；看不起
destined	命中注定的；（場所）預定的
detach	分開，拆卸；使分離[（+from）]；派遣，分遣
detain	留住；使耽擱；拘留，扣留
detention	滯留；延遲；拘留
deter	威懾住，嚇住；使斷念[（+from）]
detergent	去垢的，使潔淨的 洗潔劑，洗衣粉；去垢劑[C][U]
devour	狼吞虎嚥地吃，吃光；吞沒，毀滅
diabetes	糖尿病
dictate	口授，口述，使聽寫；命令，規定，要求，指定[+wh-] 口授，口述；命令，支配
dictation	口述；聽寫[U]；口授（或聽寫）的文字[C]
dictator	獨裁者；【史】（古羅馬握有非常時期權力的）獨裁官
dictatorship	獨裁者的職位（或權力、任期）[U][C]；獨裁國家；獨裁政府[C]
diesel	柴油引擎；狄塞爾內燃機
differentiate	使有差異；構成......間的差別[（+from）]；區別，區分；鑑別[（+from）] 區別，區分；鑑別[（+between）]；區別對待[（+between）]
diplomacy	外交；外交手腕
directive	指導的；管理的；方向性的 指令
disable	使失去能力[（+from）]；使傷殘[H]
disastrous	災害的；災難性的，悲慘的
disbelief	不信；懷疑
discard	拋棄，丟棄[U]；被拋棄的東西（或人）[C]
discharge	排出（液體，氣體等）；允許......離開；釋放；解僱[H][（+from）] 排出液體（或氣體等）；（江河）流注[Q]；（船等）卸貨 排出，流出[U]；釋放；解僱[U]
disciple	信徒，門徒；追隨者；【宗】耶穌的信徒，使徒
disciplinary	訓練的；紀律的；懲戒的
disclosure	揭發；透露；公開[U]；揭發（或敗露）的事情[C]
discomfort	不舒服，不適；不安[U]；使人不舒服（或不安）的事物；困苦[C] 使不舒服；使不安
discreet	謹慎的，慎重的，考慮周到的；樸素的，不引人注意的
disgrace	丟臉，恥辱，不光彩；失寵[U]；丟臉的事；丟臉的人[S][（+to）] 使丟臉，使蒙受恥辱；使失寵；貶黜
dismay	驚慌，沮喪，氣餒[U] 使驚慌，使沮喪，使氣餒[H][（+at/by）]
dispensable	非必要的；可分配的；可寬恕的
dispense	分配，分發；施給[（+to）]；執行，施行；管理 免除；省掉[（+with）]
disposable	可任意處理的；可自由使用的；用完即丟棄的，一次性使用的
disposal	處理，處置；配置；布置；排列
dispose	配置，布置[（+for）]；處置，處理；整理 處置，處理；（能）決定[（+of）]
dissent	不同意，持異議；【英】不信奉國教 不同意，異議；（通常大寫）不信奉國教
distraction	分心，注意力分散[U]；困惑；焦躁不安[U]
distress	悲痛，苦惱，憂傷[U]；貧困，窮苦[U] 使悲痛，使苦惱，使憂傷[H][（+at/about）]；使貧困
disturbance	擾亂；打擾；騷擾，混亂；引起騷動的事物
diversify	使多樣化；把（資金）分投在幾家公司內 多樣化；從事多種經營
diversion	轉向，轉移；轉換[U][C]；分散注意力[U]
divert	使轉向；使改道[（+from/to）]；轉移；使分心[（+from）] 轉向；轉移
dividend	【數】被除數；【經】紅利；股息
doom	厄運，毀滅，死亡；【宗】末日審判，世界末日 注定，命定[H][（+to）][?]；判定，判決[（+to）]
dormitory/dorm	大寢室，團體寢室；【美】（學院等的）學生宿舍
downward	向下的，下降的[B]；日趨沒落的 向下；日趨沒落地
downward/downwards	向下的，下降的[B]；日趨沒落的 向下；日趨沒落地
doze	打瞌睡，打盹；半睡 在瞌睡中度過（時間）[（+away）] 瞌睡，假寐[S]
drastic	激烈的，猛烈的；嚴厲的；極端的
draught	【英】= draft
dresser	（劇場的）服裝員；（傷口）敷裹員；（櫥窗的）裝飾者；鞣革者；穿著講究者；穿......服裝的人
dressing	穿衣；服飾，衣服；打扮[U]；布置，裝飾[U]
dual	兩的，雙的；雙倍的；雙重的 雙數；雙數詞
dubious	（對事物）半信半疑的，猶豫不決的[（+of/about）]；曖昧的，含糊的
duration	（時間的）持續，持久；持續期間[U]
dusk	薄暮，黃昏；幽暗 【書】幽暗的；微黑的 【書】使變微暗；使變微黑 【書】變微暗；變微黑
dwarf	矮子；侏儒；矮小的動物（或植物） 矮小的；發育不全的；矮種的 使矮小；使顯得矮小 變矮小；萎縮；發育不全
dwell	居住，住；生活（在）；存在（於）[（+in）]
dwelling	住處，住宅，寓所[C]；dwell的動詞現在分詞、動名詞
eccentric	（人、行為等）古怪的，反常的；不同圓心的 古怪的人；偏心圓
eclipse	【天】蝕[C]；被遮蔽；（聲名、威望等的）黯然失色[C][U] 蝕，遮蔽（其他天體的光）；使失色
edible	可食的，食用的 食品；適合吃的東西[P]
editorial	編輯（上）的；編者的；主管的；社論的；社論式的 （報刊的）社論；（電臺，電視臺的）重要評論
electrician	電工；電氣技師[C]
elevate	舉起；抬起；使上升；提高（嗓子，道德品質，信心等）
emigrant	移居（他國）的；移民的 （往他國的）移民；移出者[C][（+to）]
emigrate	移居外國（或外地區）[（+from/to）] 使移居
emigration	移居；移民出境[U][C]；（總稱）移民[J]
encyclopedia	#NAME?
endeavor	努力，力圖[+to-v] 努力，盡力[C][U][+to-v]
endowment	（基金、財產等的）捐贈[U]；捐贈的基金、財產等[P1]
endurance	忍耐，耐久力；持久（力）；耐久（力）
enhance(ment)	提高，增加（價值，品質，吸引力等）
enlighten(ment)	啟發，啟迪；使擺脫矇昧；教育，教導
enrich(ment)	使富裕；使豐富
enroll(ment)	把......記入名冊，登記（名字等）；使入會；使入學，招（生）；使入伍，徵（兵）
equalize	使相等；使平等；使均等；使划一
equate	【數】用符號表示......的關係；等同
escort	護衛隊；護航隊；護航艦；護航飛機；儀隊[C][G]；護衛者，護送者[C] 護送；為......護航；陪同[（+to）]
esteem	尊重，尊敬；【古】評價；意見；價值 尊重，尊敬；珍重；認為，視為[（+as）][?][O8][O9][+that]
eternity	永遠，永恆；不朽[U]；（死後的）永世；來世[U]
evacuate	撤空，撤離；從......撤退；使避難，使疏散[（+from）]
evergreen	常綠的，常青的 常綠樹；萬年青[C]；裝飾用的常綠樹樹枝[P]
evoke	喚起（記憶等）；引起；召（魂）
examinee	應試者；受檢查者
examiner	主考人；檢查人；審查員[C]
excel	勝過，優於[（+in/at）] 突出；勝過他人[（+in/at）]
excerpt	摘錄；引用
excess	超越，超過[U][S1]；超額量[U][S1] 過量的；額外的；附加的[B]
exclusion	排斥，排除在外；被排除在外的事物
exempt	免除，豁免[（+from）] 被免除的；被豁免的[F][（+from）] 被免除（義務、責任）者；免稅者[C]
exert	用（力），盡（力）；運用，行使；發揮；施加
expenditure	消費；支出；用光[U][（+on）]；支出額；經費[U][C]
expiration	終結；期滿；吐氣
expire	滿期，屆期；（期限）終止；呼氣，吐氣 呼出（空氣）
extract	用力取出；使勁拔出，抽出；採掘；提取，提煉
extracurricular	課外的；業餘的；【口】婚外的
eyelash/lash	（一根）睫毛
eyelid	眼皮，眼瞼[C]
eyesight	視力，目力；視野，視界
fable	寓言[C]；虛構的故事；傳說；神話[C] 講寓言；編寓言；虛構；撒謊[（+about）] 煞有介事地講述
faction	（政黨，組織等內部的）派別，宗派；小集團[C]；派系之爭，內訌[U]
Fahrenheit	華氏溫度計的；華氏的 華氏溫度計；華氏溫標
falter	蹣跚，踉蹌；搖晃；（聲音）顫抖；結巴地說話 結巴地講出[（+out）] 動搖，猶豫；畏縮；顫抖；顫抖的聲音
familiarity	熟悉；通曉[U][（+with）]；親近；親暱，放肆[U]
fascination	魅力；有魅力的東西[U][S]；迷戀，陶醉[U]
feasible	可行的；可實行的[+to-v]；可能的；合理的
feeble	虛弱的，衰弱的；無力的；（智力，性格等）弱的，軟弱的
feminine	女性的，婦女的；嬌柔的，女孩子氣的；適合於女子的 女性；【文】陰性；陰性詞（或形式）
fertility	（土地的）肥沃；【生】繁殖力
fertilizer	肥料；促進發展者
fianc?/fiance	【法】未婚夫
fin	鰭；鰭狀物；（潛水用的或船的）鰭板；（飛機的）安定翼；（潛艇的）水平舵
finite	有限的；【數】有窮的 有限；有限之物
firecracker	爆竹，鞭炮[C]
fireproof	防火的；耐火的 使具防火（或耐火）性能；為......安裝防火設施
fishery	漁業，水產業[U]；漁場；養魚場[C]
flake	小薄片；扁薄的一層 成薄片；（成片）剝落[（+away/off）]；雪片似地降落 使成薄片；像雪花般覆蓋
flaw	裂隙；裂縫；缺點；瑕疵[（+in）] 使破裂；使有缺陷；使無效 生裂縫；變得有缺陷
flourish	（植物等）茂盛，繁茂；（事業等）繁榮，興旺 揮舞[（+at）]；炫耀，誇耀 揮舞；炫耀性的動作[C]；（手寫花體字上的）花飾[C]
flunk	使（某人）不及格；給（某人）打不及格分數；通不過（考試等） （在考試等中）失敗，不及格[（+in）]；（因畏縮而）撒手不做；放棄 失敗；不及格[C]
foe	敵人，仇敵；敵軍
folklore	民間傳說，民俗；民俗學[U]
formidable	可怕的，令人畏懼的；難以克服的，難對付的
formulate	使公式化；用公式表示；系統地闡述（或說明）
forsake	拋棄；遺棄；背棄；摒棄，革除
forthcoming	即將到來的[B]；現有的，隨時可得的[F]
fortify	築防禦工事於；築堡壘於；（在肉體，精神等方面）增強，加強 構築防禦工事；構築堡壘
fowl	禽[C]；家禽（雞，鴨，鵝等）[C] 打（或捕）野禽
fracture	破裂；斷裂；折斷；骨折[C][U][（+of）]；裂縫；裂面；裂痕[C] 使破裂；使斷裂；使折斷；使骨折；毀壞；打破；違反（規定等） 破裂；斷裂；折斷
fragrance	芬芳；香味；香氣[C][U]
fragrant	香的，芳香的
frantic	（因喜悅，憤怒等）發狂似的[（+with）]；狂暴的，狂亂的
freak	任性的舉動；怪誕的行動；畸形的人（或動植物） 反常的，怪異的，稀奇的[B]
freeway	【美】高速公路；高速幹道[C]
friction	摩擦；摩擦力[U]；不和，爭執[U][C]
fume	（有害，濃烈，或難聞的）煙，氣，汽[P]；憤怒；煩惱[S] 冒煙（或氣，汽）；（煙，汽等）冒出；發怒；怒氣衝衝地說話[（+at/over）] （用香）薰；煙薰；薰（木材等）；冒出（煙，汽等）
fury	狂怒，暴怒[U][C]；（天氣，疾病，感情等的）狂暴，猛烈[the S]
fuse	保險絲，熔線[C] 把保險絲接入（電路）；使（電器等）保險絲燒壞 （保險絲）熔斷；（電器等）因保險絲燒壞而中斷工作；熔化
fuss	忙亂；大驚小怪；小題大作[U][S1][（+about/over）]；異議；抱怨[S][（+about/over）] 忙亂；小題大作；大驚小怪[（+about/over）]；過分體貼關心[（+over）] 【口】使煩惱；煩憂
gallop	（馬等的）疾馳，飛跑[S]；騎馬奔馳[C] （馬等）疾馳，飛跑；匆匆地做（或讀，說等） 使（馬）疾馳，使飛跑
gangster	（結成團伙的）歹徒，匪盜，流氓[C]
garment	（一件）衣服[C]；服裝，衣著[P] 給......穿衣服[H]
gauge	標準尺寸，標準規格[U][C]；測量儀器；規，表，計[C] 量，測；估計，判斷
gay	【美】【俚】（一般指男子）同性戀的；鮮豔的；豔麗的；衣著華麗的 【美】【俚】同性戀者[C]
geographical	"地理學的,地理的"
geometry	幾何學[U]
glacier	冰河[C]
glamorous	富有魅力的；迷人的
glamour	魅力，誘惑力；迷人的美；妖豔 使著魔；迷住；迷惑；使有魅力；美化[（+up）]
gleam	微光；閃光[（+of）]；（情感等的）閃現，一絲[（+of）] 發微光；閃爍；閃現；突然露出
glide	滑動，滑行[Q]；滑翔；乘滑翔機飛行 使滑動，使滑行 滑動，滑行；滑翔，下滑
glitter	閃閃發光，閃爍；光彩奪目 閃光，閃耀[the S]；華麗，光彩[U]
